round,global_acc,global_loss,n_selected_clients,selected_clients,round_time_s,cumulative_time_s
1,11.5,2.332474,10,"[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",8.67,8.67
2,11.1,2.363021,10,"[94, 69, 11, 75, 54, 4, 3, 27, 29, 64]",7.79,16.46
3,10.0,2.508249,10,"[77, 3, 71, 25, 91, 83, 89, 69, 53, 28]",7.64,24.1
4,10.0,3.301578,10,"[57, 75, 35, 0, 97, 20, 89, 54, 43, 19]",7.28,31.38
5,10.73,3.114268,10,"[27, 97, 43, 13, 11, 48, 12, 45, 44, 77]",8.37,39.74
6,10.0,4.001971,10,"[33, 5, 93, 58, 68, 15, 48, 10, 70, 37]",9.1,48.84
7,10.0,2.819846,10,"[80, 79, 46, 73, 24, 90, 8, 5, 84, 29]",7.47,56.31
8,10.08,3.079541,10,"[98, 37, 10, 29, 12, 48, 35, 58, 81, 46]",7.46,63.77
9,10.0,3.450865,10,"[20, 47, 45, 26, 85, 34, 89, 87, 82, 9]",8.79,72.57
10,10.23,3.308977,10,"[77, 81, 21, 68, 93, 31, 20, 59, 48, 34]",8.35,80.92
11,11.09,3.089388,10,"[81, 88, 71, 28, 87, 41, 98, 99, 7, 29]",7.69,88.6
12,10.0,3.969239,10,"[4, 40, 51, 34, 8, 27, 72, 91, 83, 63]",8.22,96.83
13,10.0,3.860011,10,"[50, 82, 58, 18, 33, 17, 31, 95, 71, 68]",8.23,105.05
14,13.87,3.58103,10,"[33, 95, 74, 54, 51, 46, 28, 17, 65, 63]",8.06,113.11
15,10.0,4.161727,10,"[11, 96, 6, 14, 19, 80, 20, 87, 54, 76]",6.86,119.98
16,12.19,3.591733,10,"[8, 49, 48, 76, 59, 67, 32, 70, 1, 87]",6.97,126.94
17,10.76,3.669624,10,"[92, 14, 87, 68, 96, 34, 98, 82, 43, 37]",7.44,134.39
18,10.0,4.284837,10,"[55, 20, 58, 0, 92, 33, 64, 97, 22, 13]",8.22,142.6
19,13.86,3.402487,10,"[80, 38, 81, 64, 77, 25, 19, 47, 97, 20]",6.93,149.53
20,10.75,4.033959,10,"[69, 99, 67, 0, 76, 41, 62, 2, 14, 46]",15.26,164.78
21,10.52,3.750111,10,"[39, 30, 7, 72, 10, 93, 62, 8, 97, 68]",20.73,185.51
22,10.0,4.334344,10,"[98, 16, 84, 60, 70, 21, 33, 67, 77, 54]",19.77,205.29
23,13.73,3.715821,10,"[27, 69, 96, 93, 88, 25, 91, 39, 51, 85]",21.69,226.98
24,9.99,3.49772,10,"[83, 47, 56, 66, 57, 15, 31, 28, 8, 43]",22.22,249.19
25,10.52,3.792874,10,"[2, 75, 70, 29, 28, 0, 9, 90, 80, 7]",20.86,270.05
26,10.08,3.573607,10,"[29, 8, 4, 42, 9, 65, 30, 35, 85, 62]",22.72,292.77
27,12.44,3.442277,10,"[27, 69, 16, 92, 73, 60, 31, 52, 24, 12]",17.99,310.76
28,9.96,2.858776,10,"[12, 84, 55, 45, 54, 52, 59, 93, 6, 86]",18.63,329.39
29,10.09,3.343412,10,"[83, 82, 12, 7, 51, 93, 43, 13, 31, 24]",17.52,346.9
30,9.99,4.018951,10,"[24, 68, 57, 17, 54, 23, 35, 59, 31, 9]",21.34,368.24
